"Time differences (ps)"	"Counts per bin"
-27300	36345
-27250	38366
-27200	38352
-27150	32642
-27100	31016
-27050	33108
-27000	35319
-26950	33293
-26900	32470
-26850	34631
-26800	37584
-26750	37906
-26700	33715
-26650	31945
-26600	33419
-26550	35397
-26500	33948
-26450	32408
-26400	33084
-26350	30590
-26300	31010
-26250	34104
-26200	31481
-26150	28189
-26100	31135
-26050	35916
-26000	33458
-25950	26684
-25900	25809
-25850	30161
-25800	32156
-25750	27531
-25700	26183
-25650	28150
-25600	31270
-25550	31098
-25500	28408
-25450	25420
-25400	24981
-25350	25303
-25300	27265
-25250	27936
-25200	28384
-25150	28553
-25100	28152
-25050	26798
-25000	26682
-24950	27279
-24900	26715
-24850	26868
-24800	28626
-24750	28302
-24700	27883
-24650	27983
-24600	28701
-24550	30202
-24500	29570
-24450	30701
-24400	30901
-24350	33863
-24300	35827
-24250	33810
-24200	31982
-24150	29074
-24100	26573
-24050	26121
-24000	26186
-23950	27783
-23900	30608
-23850	38559
-23800	44204
-23750	43852
-23700	40998
-23650	37180
-23600	36657
-23550	36507
-23500	33334
-23450	25255
-23400	22211
-23350	22141
-23300	21845
-23250	22111
-23200	22248
-23150	21985
-23100	21914
-23050	21852
-23000	21508
-22950	21327
-22900	21339
-22850	21601
-22800	21260
-22750	21002
-22700	20564
-22650	21015
-22600	21272
-22550	21738
-22500	21136
-22450	20315
-22400	20221
-22350	20518
-22300	21166
-22250	21410
-22200	21371
-22150	21277
-22100	21302
-22050	21261
-22000	22142
-21950	23342
-21900	24284
-21850	24675
-21800	23997
-21750	22206
-21700	22421
-21650	27760
-21600	28482
-21550	24218
-21500	23697
-21450	25594
-21400	27131
-21350	28796
-21300	31345
-21250	32901
-21200	29254
-21150	23870
-21100	19987
-21050	18662
-21000	18154
-20950	18066
-20900	18057
-20850	17989
-20800	17952
-20750	18018
-20700	17875
-20650	17902
-20600	17999
-20550	17727
-20500	17753
-20450	18105
-20400	17985
-20350	17981
-20300	18211
-20250	17923
-20200	17587
-20150	17817
-20100	18158
-20050	18334
-20000	17898
-19950	17767
-19900	17797
-19850	17600
-19800	17761
-19750	17714
-19700	17666
-19650	17661
-19600	18038
-19550	17841
-19500	17408
-19450	17688
-19400	18075
-19350	17759
-19300	17391
-19250	17726
-19200	17787
-19150	17812
-19100	17788
-19050	17839
-19000	17812
-18950	17752
-18900	17627
-18850	17731
-18800	17678
-18750	17716
-18700	17587
-18650	17502
-18600	17643
-18550	17612
-18500	17935
-18450	17975
-18400	17710
-18350	17808
-18300	17769
-18250	17725
-18200	17579
-18150	17790
-18100	18243
-18050	17774
-18000	17574
-17950	17686
-17900	18030
-17850	17793
-17800	17707
-17750	17634
-17700	17534
-17650	17648
-17600	17427
-17550	17513
-17500	17450
-17450	17496
-17400	17490
-17350	17794
-17300	17532
-17250	17516
-17200	17206
-17150	17395
-17100	17429
-17050	17371
-17000	17869
-16950	17851
-16900	17547
-16850	17495
-16800	17573
-16750	17657
-16700	17567
-16650	17458
-16600	17783
-16550	17721
-16500	17551
-16450	17672
-16400	17389
-16350	17548
-16300	17561
-16250	17565
-16200	17409
-16150	17655
-16100	17741
-16050	17208
-16000	17151
-15950	17460
-15900	17799
-15850	17521
-15800	17539
-15750	17644
-15700	17342
-15650	17101
-15600	17280
-15550	17366
-15500	17723
-15450	17639
-15400	17379
-15350	17471
-15300	17342
-15250	17646
-15200	17539
-15150	17521
-15100	17478
-15050	17481
-15000	17684
-14950	17422
-14900	17303
-14850	17563
-14800	17584
-14750	17339
-14700	17477
-14650	17463
-14600	17551
-14550	17484
-14500	17422
-14450	17311
-14400	17519
-14350	17389
-14300	17309
-14250	17326
-14200	17261
-14150	17006
-14100	17029
-14050	17502
-14000	17533
-13950	17216
-13900	17253
-13850	17368
-13800	17159
-13750	17355
-13700	17469
-13650	17454
-13600	16970
-13550	17182
-13500	17407
-13450	17196
-13400	17324
-13350	17432
-13300	17465
-13250	17095
-13200	17277
-13150	17591
-13100	17351
-13050	17415
-13000	17246
-12950	17304
-12900	17296
-12850	17300
-12800	17281
-12750	17489
-12700	17328
-12650	17171
-12600	17300
-12550	17372
-12500	17280
-12450	17416
-12400	17389
-12350	17126
-12300	17426
-12250	17367
-12200	17403
-12150	17218
-12100	16979
-12050	17691
-12000	17396
-11950	17314
-11900	17179
-11850	17626
-11800	17315
-11750	17457
-11700	17360
-11650	17192
-11600	17385
-11550	17056
-11500	17553
-11450	17412
-11400	17267
-11350	17364
-11300	17387
-11250	17508
-11200	17208
-11150	17212
-11100	17188
-11050	17398
-11000	17513
-10950	17523
-10900	17138
-10850	17233
-10800	17350
-10750	17410
-10700	17155
-10650	17173
-10600	17386
-10550	16981
-10500	17028
-10450	17680
-10400	17429
-10350	17123
-10300	17321
-10250	17048
-10200	17307
-10150	17062
-10100	16958
-10050	17148
-10000	17256
-9950	17366
-9900	17197
-9850	17395
-9800	17226
-9750	17038
-9700	17047
-9650	17182
-9600	17305
-9550	17130
-9500	17416
-9450	17251
-9400	17299
-9350	17085
-9300	16960
-9250	17390
-9200	17326
-9150	17368
-9100	17118
-9050	17212
-9000	17713
-8950	17297
-8900	16818
-8850	17167
-8800	17451
-8750	17219
-8700	17312
-8650	17277
-8600	17236
-8550	17068
-8500	16880
-8450	17276
-8400	17633
-8350	17177
-8300	17241
-8250	16974
-8200	17102
-8150	17227
-8100	17163
-8050	17293
-8000	17136
-7950	16940
-7900	17130
-7850	17243
-7800	16890
-7750	17083
-7700	16945
-7650	17061
-7600	17049
-7550	17354
-7500	16891
-7450	16935
-7400	17108
-7350	17166
-7300	16878
-7250	16961
-7200	17005
-7150	17275
-7100	16885
-7050	17111
-7000	17142
-6950	17108
-6900	17193
-6850	17084
-6800	16971
-6750	17169
-6700	17234
-6650	17146
-6600	17063
-6550	17110
-6500	16731
-6450	17187
-6400	16999
-6350	17314
-6300	17268
-6250	17143
-6200	16886
-6150	16916
-6100	17165
-6050	17319
-6000	17010
-5950	17052
-5900	17122
-5850	17166
-5800	17133
-5750	16819
-5700	16996
-5650	16947
-5600	17080
-5550	17248
-5500	16887
-5450	16902
-5400	16581
-5350	17036
-5300	17182
-5250	17249
-5200	17070
-5150	16719
-5100	16976
-5050	17107
-5000	16937
-4950	16709
-4900	16677
-4850	17308
-4800	17434
-4750	16964
-4700	16922
-4650	16707
-4600	16902
-4550	17040
-4500	16949
-4450	17145
-4400	16979
-4350	17021
-4300	16892
-4250	16944
-4200	16901
-4150	17091
-4100	17039
-4050	17039
-4000	17060
-3950	17184
-3900	16501
-3850	16793
-3800	17183
-3750	17099
-3700	16973
-3650	17216
-3600	16898
-3550	16819
-3500	16994
-3450	16876
-3400	17015
-3350	16897
-3300	17245
-3250	16933
-3200	17005
-3150	17087
-3100	16821
-3050	16800
-3000	17108
-2950	16931
-2900	17328
-2850	17163
-2800	16850
-2750	17013
-2700	17167
-2650	16668
-2600	17120
-2550	17123
-2500	17097
-2450	16738
-2400	16943
-2350	17105
-2300	16678
-2250	16953
-2200	17057
-2150	17169
-2100	16706
-2050	17041
-2000	17138
-1950	16992
-1900	16861
-1850	16994
-1800	16661
-1750	16825
-1700	17030
-1650	17013
-1600	16565
-1550	16581
-1500	17484
-1450	16867
-1400	16239
-1350	17067
-1300	17075
-1250	16638
-1200	16645
-1150	17112
-1100	17169
-1050	16920
-1000	16925
-950	16854
-900	17078
-850	16851
-800	16601
-750	16557
-700	17114
-650	17103
-600	16680
-550	16731
-500	17132
-450	17171
-400	16774
-350	16890
-300	16843
-250	16610
-200	17131
-150	17030
-100	16706
-50	16811
0	17201
50	16804
100	16634
150	16884
200	16674
250	16951
300	16918
350	17031
400	16799
450	17149
500	16672
550	16815
600	16771
650	17075
700	17113
750	16752
800	16567
850	17307
900	17027
950	16800
1000	16984
1050	16945
1100	16852
1150	17052
1200	16903
1250	16718
1300	16927
1350	17124
1400	16768
1450	16867
1500	16928
1550	17094
1600	16792
1650	16481
1700	16784
1750	17157
1800	17294
1850	16741
1900	16719
1950	16960
2000	17051
2050	16660
2100	16721
2150	17148
2200	16885
2250	16787
2300	17034
2350	16618
2400	16720
2450	16772
2500	17148
2550	16662
2600	16629
2650	16940
2700	17036
2750	17154
2800	17026
2850	16574
2900	16938
2950	17160
3000	16866
3050	16786
3100	16770
3150	17026
3200	16875
3250	16800
3300	16707
3350	16896
3400	17003
3450	17291
3500	16694
3550	16882
3600	16948
3650	16617
3700	16760
3750	16875
3800	17047
3850	17012
3900	16901
3950	17048
4000	16735
4050	16790
4100	16884
4150	16715
4200	16748
4250	16825
4300	16618
4350	17069
4400	16956
4450	16886
4500	16865
4550	16682
4600	16837
4650	16744
4700	16763
4750	16750
4800	16934
4850	16945
4900	16825
4950	16844
5000	16677
5050	16890
5100	16891
5150	16911
5200	16715
5250	16583
5300	16685
5350	17065
5400	16970
5450	16993
5500	16750
5550	16786
5600	16834
5650	17021
5700	16714
5750	16725
5800	16746
5850	16966
5900	16960
5950	16789
6000	16837
6050	16906
6100	16847
6150	16787
6200	16785
6250	16913
6300	16885
6350	16836
6400	16628
6450	16722
6500	16751
6550	16929
6600	17168
6650	16911
6700	16676
6750	16993
6800	16984
6850	16628
6900	16936
6950	17105
7000	16860
7050	16552
7100	16957
7150	16853
7200	16902
7250	16976
7300	16793
7350	17058
7400	16923
7450	16496
7500	16723
7550	16914
7600	16825
7650	16713
7700	16998
7750	16989
7800	16779
7850	16961
7900	16954
7950	16455
8000	16890
8050	16837
8100	16760
8150	16748
8200	16847
8250	16763
8300	16781
8350	16910
8400	16778
8450	16938
8500	16516
8550	16957
8600	16965
8650	16882
8700	16702
8750	16655
8800	16837
8850	16852
8900	16778
8950	16689
9000	16836
9050	17224
9100	16912
9150	16760
9200	16713
9250	16788
9300	16978
9350	17078
9400	16761
9450	16653
9500	16850
9550	17074
9600	16614
9650	16872
9700	16876
9750	16817
9800	16607
9850	17242
9900	16938
9950	16769
10000	16801
10050	17019
10100	16808
10150	16513
10200	16912
10250	16753
10300	17022
10350	16745
10400	16713
10450	16830
10500	16931
10550	16905
10600	16967
10650	16618
10700	16608
10750	16876
10800	16752
10850	17048
10900	16991
10950	16716
11000	16704
